,0,1,2,3,4,5,6,7,8
0,1,0,0,0,1113600,1,1032750000,1,102000000
1,1,0,0,0,1113600,1,1032750000,1,1062400000
2,1,0,0,0,1113600,1,1032750000,1,1331200000
3,1,0,0,0,1113600,1,1032750000,1,1600000000
4,1,0,0,0,1113600,1,1032750000,1,1866000000
5,1,0,0,0,1113600,1,1032750000,1,204000000
6,1,0,0,0,1113600,1,1032750000,1,40800000
7,1,0,0,0,1113600,1,1032750000,1,408000000
8,1,0,0,0,1113600,1,1032750000,1,665600000
9,1,0,0,0,1113600,1,1032750000,1,68000000
10,1,0,0,0,1113600,1,1032750000,1,800000000
11,1,0,0,0,1113600,1,1122000000,1,102000000
12,1,0,0,0,1113600,1,1122000000,1,1062400000
13,1,0,0,0,1113600,1,1122000000,1,1331200000
14,1,0,0,0,1113600,1,1122000000,1,1600000000
15,1,0,0,0,1113600,1,1122000000,1,1866000000
16,1,0,0,0,1113600,1,1122000000,1,204000000
17,1,0,0,0,1113600,1,1122000000,1,40800000
18,1,0,0,0,1113600,1,1122000000,1,408000000
19,1,0,0,0,1113600,1,1122000000,1,665600000
20,1,0,0,0,1113600,1,1122000000,1,68000000
21,1,0,0,0,1113600,1,1122000000,1,800000000
22,1,0,0,0,1113600,1,1211250000,1,102000000
23,1,0,0,0,1113600,1,1211250000,1,1062400000
24,1,0,0,0,1113600,1,1211250000,1,1331200000
25,1,0,0,0,1113600,1,1211250000,1,1600000000
26,1,0,0,0,1113600,1,1211250000,1,1866000000
27,1,0,0,0,1113600,1,1211250000,1,204000000
28,1,0,0,0,1113600,1,1211250000,1,40800000
29,1,0,0,0,1113600,1,1211250000,1,408000000
30,1,0,0,0,1113600,1,1211250000,1,665600000
31,1,0,0,0,1113600,1,1211250000,1,68000000
32,1,0,0,0,1113600,1,1211250000,1,800000000
33,1,0,0,0,1113600,1,1300500000,1,102000000
34,1,0,0,0,1113600,1,1300500000,1,1062400000
35,1,0,0,0,1113600,1,1300500000,1,1331200000
36,1,0,0,0,1113600,1,1300500000,1,1600000000
37,1,0,0,0,1113600,1,1300500000,1,1866000000
38,1,0,0,0,1113600,1,1300500000,1,204000000
39,1,0,0,0,1113600,1,1300500000,1,40800000
40,1,0,0,0,1113600,1,1300500000,1,408000000
41,1,0,0,0,1113600,1,1300500000,1,665600000
42,1,0,0,0,1113600,1,1300500000,1,68000000
43,1,0,0,0,1113600,1,1300500000,1,800000000
44,1,0,0,0,1113600,1,140250000,1,102000000
45,1,0,0,0,1113600,1,140250000,1,1062400000
46,1,0,0,0,1113600,1,140250000,1,1331200000
47,1,0,0,0,1113600,1,140250000,1,1600000000
48,1,0,0,0,1113600,1,140250000,1,1866000000
49,1,0,0,0,1113600,1,140250000,1,204000000
